TradeDate,SignalDate,Positions,DeployedGBP,PnLGBP,ReturnPct,NetPnLGBP,Winners,Losers,HitRatePct,BestTicker,BestPnLGBP,WorstTicker,WorstPnLGBP,ChallengerPnLGBP,ChallengerReturnPct,ChallengerNetPnLGBP,ChallengerHitRatePct,UniverseReturnPct,FXOpen,FXClose,CumulativePnLGBP,CumulativeNetPnLGBP,ChallengerCumulativePnLGBP,ChallengerCumulativeNetGBP
2026-06-29,2026-06-26,9,900.0,8.89,0.987,7.09,5,4,55.6,WDC,8.54,NUE,-4.57,-2.3,-0.23,-4.3,50.0,-0.11,1.31961,1.31971,8.89,7.09,-2.3,-4.3
2026-06-30,2026-06-29,9,900.0,10.6,1.178,8.8,6,3,66.7,SNDK,7.76,NUE,-2.72,-1.77,-0.177,-3.77,50.0,0.017,1.32528,1.3254,19.49,15.89,-4.07,-8.07
2026-07-01,2026-06-30,9,900.0,-8.38,-0.931,-10.18,2,7,22.2,DVA,2.89,MU,-4.6,12.64,1.264,10.64,70.0,0.34,1.32501,1.32507,11.11,5.71,8.57,2.57
2026-07-02,2026-07-01,9,900.0,-39.7,-4.411,-41.5,3,6,33.3,ALL,2.85,SNDK,-14.62,18.96,1.896,16.96,90.0,0.206,1.32792,1.32793,-28.59,-35.79,27.53,19.53
2026-07-06,2026-07-03,9,900.0,-7.65,-0.851,-9.45,4,5,44.4,DELL,4.19,AMAT,-5.59,1.42,0.142,-0.58,40.0,-0.051,1.3351,1.33531,-36.24,-45.24,28.95,18.95
2026-07-07,2026-07-06,9,900.0,2.25,0.25,0.45,3,6,33.3,DELL,4.89,UAL,-3.27,-1.29,-0.129,-3.29,40.0,-0.493,1.33948,1.33979,-33.99,-44.79,27.66,15.66
2026-07-08,2026-07-07,9,900.0,14.62,1.624,12.82,5,4,55.6,SNDK,8.47,MAS,-3.01,-6.8,-0.68,-8.8,30.0,-0.545,1.33449,1.33489,-19.37,-31.97,20.86,6.86
2026-07-09,2026-07-08,9,900.0,-5.96,-0.663,-7.76,4,5,44.4,DELL,1.42,WDC,-2.72,-5.46,-0.546,-7.46,40.0,0.445,1.33941,1.33962,-25.33,-39.73,15.4,-0.6
2026-07-10,2026-07-09,9,900.0,12.82,1.424,11.02,7,2,77.8,SNDK,7.68,DELL,-3.16,-3.04,-0.304,-5.04,40.0,0.009,1.34138,1.34156,-12.51,-28.71,12.36,-5.64
2026-07-13,2026-07-10,9,900.0,-3.9,-0.434,-5.7,5,4,55.6,ALL,1.23,SNDK,-6.63,4.54,0.454,2.54,60.0,-0.183,1.33865,1.33869,-16.41,-34.41,16.9,-3.1
2026-07-14,2026-07-13,10,1000.0,-4.12,-0.412,-6.12,3,7,30.0,DELL,3.56,WDC,-4.12,-3.54,-0.354,-5.54,40.0,-0.366,1.33511,1.33479,-20.53,-40.53,13.36,-8.64
