TradeDate,SignalDate,Ticker,EntryUSD,ExitUSD,MovePct,StakeGBP,PnLGBP,Filled
2026-06-29,2026-06-26,WDC,600.56,651.88,8.545,100.0,8.5368,YES
2026-06-29,2026-06-26,DELL,393.82,414.61,5.279,100.0,5.2707,YES
2026-06-29,2026-06-26,CAT,998.41,1033.1899,3.484,100.0,3.4753,YES
2026-06-29,2026-06-26,MU,1128.7,1145.28,1.469,100.0,1.4609,YES
2026-06-29,2026-06-26,DAL,91.84,93.17,1.448,100.0,1.4401,YES
2026-06-29,2026-06-26,NTAP,153.26,155.06,1.174,100.0,1.1665,YES
2026-06-29,2026-06-26,UAL,135.77,135.19,-0.427,100.0,-0.4351,YES
2026-06-29,2026-06-26,SNDK,2090.71,2050.3899,-1.929,100.0,-1.9363,YES
2026-06-29,2026-06-26,STLD,244.18,234.22,-4.079,100.0,-4.0865,YES
2026-06-29,2026-06-26,NUE,239.5,228.58,-4.559,100.0,-4.5671,YES
2026-06-30,2026-06-29,SNDK,2109.73,2273.73,7.774,100.0,7.7635,YES
2026-06-30,2026-06-29,DELL,410.64,431.46,5.07,100.0,5.0604,YES
2026-06-30,2026-06-29,DVA,219.31,222.48,1.445,100.0,1.436,YES
2026-06-30,2026-06-29,WDC,632.44,638.72,0.993,100.0,0.9836,YES
2026-06-30,2026-06-29,MU,1144.73,1154.29,0.835,100.0,0.8258,YES
2026-06-30,2026-06-29,DAL,93.08,93.66,0.623,100.0,0.6138,YES
2026-06-30,2026-06-29,UAL,135.8,135.99,0.14,100.0,0.1306,YES
2026-06-30,2026-06-29,GL,179.18,178.68,-0.279,100.0,-0.2883,YES
2026-06-30,2026-06-29,STLD,235.54,229.46,-2.581,100.0,-2.5903,YES
2026-06-30,2026-06-29,NUE,228.96,222.75,-2.712,100.0,-2.7213,YES
2026-07-01,2026-06-30,DVA,221.62,228.03,2.892,100.0,2.8882,YES
2026-07-01,2026-06-30,GL,178.98,180.07,0.609,100.0,0.605,YES
2026-07-01,2026-06-30,HST,23.46,23.35,-0.469,100.0,-0.4728,YES
2026-07-01,2026-06-30,NUE,220.27,219.02,-0.567,100.0,-0.5714,YES
2026-07-01,2026-06-30,UAL,136.12,135.13,-0.727,100.0,-0.7312,YES
2026-07-01,2026-06-30,WDC,604.56,598.37,-1.024,100.0,-1.0278,YES
2026-07-01,2026-06-30,DAL,94.47,93.06,-1.493,100.0,-1.4965,YES
2026-07-01,2026-06-30,STLD,226.11,221.76,-1.924,100.0,-1.9278,YES
2026-07-01,2026-06-30,SNDK,2085.1699,2032.22,-2.539,100.0,-2.5432,YES
2026-07-01,2026-06-30,MU,1082.01,1032.28,-4.596,100.0,-4.5999,YES
2026-07-02,2026-07-01,ALL,243.4,250.33,2.847,100.0,2.8462,YES
2026-07-02,2026-07-01,DVA,230.95,234.91,1.715,100.0,1.7137,YES
2026-07-02,2026-07-01,NUE,219.9,220.75,0.387,100.0,0.3856,YES
2026-07-02,2026-07-01,HST,23.51,23.35,-0.681,100.0,-0.6815,YES
2026-07-02,2026-07-01,DAL,94.92,92.75,-2.286,100.0,-2.287,YES
2026-07-02,2026-07-01,UAL,137.98,133.32,-3.377,100.0,-3.3782,YES
2026-07-02,2026-07-01,MU,1041.5,975.56,-6.331,100.0,-6.3321,YES
2026-07-02,2026-07-01,WDC,595.5,539.0,-9.488,100.0,-9.4887,YES
2026-07-02,2026-07-01,LRCX,391.06,351.41,-10.139,100.0,-10.1399,YES
2026-07-02,2026-07-01,SNDK,2043.8,1745.0,-14.62,100.0,-14.6206,YES
2026-07-06,2026-07-03,DELL,395.19,411.8,4.203,100.0,4.1863,YES
2026-07-06,2026-07-03,WDC,567.0,577.46,1.845,100.0,1.8285,YES
2026-07-06,2026-07-03,NUE,220.75,223.92,1.436,100.0,1.4198,YES
2026-07-06,2026-07-03,DVA,235.5,235.71,0.089,100.0,0.0731,YES
2026-07-06,2026-07-03,HST,23.45,23.25,-0.853,100.0,-0.8688,YES
2026-07-06,2026-07-03,DAL,93.29,91.68,-1.726,100.0,-1.7416,YES
2026-07-06,2026-07-03,UAL,134.99,132.5,-1.845,100.0,-1.8603,YES
2026-07-06,2026-07-03,MU,1007.0,984.75,-2.21,100.0,-2.2252,YES
2026-07-06,2026-07-03,SNDK,1828.6801,1744.4301,-4.607,100.0,-4.6224,YES
2026-07-06,2026-07-03,AMAT,627.76,592.79,-5.571,100.0,-5.5857,YES
2026-07-07,2026-07-06,DELL,397.75,417.28,4.91,100.0,4.8857,YES
2026-07-07,2026-07-06,NUE,221.94,227.42,2.469,100.0,2.4452,YES
2026-07-07,2026-07-06,MU,923.01,938.38,1.665,100.0,1.6415,YES
2026-07-07,2026-07-06,WDC,532.4,532.1,-0.056,100.0,-0.0797,YES
2026-07-07,2026-07-06,SNDK,1619.28,1617.7,-0.098,100.0,-0.1209,YES
2026-07-07,2026-07-06,AIZ,281.7,280.11,-0.564,100.0,-0.5876,YES
2026-07-07,2026-07-06,HST,23.51,23.35,-0.681,100.0,-0.7037,YES
2026-07-07,2026-07-06,DVA,238.93,234.31,-1.934,100.0,-1.9565,YES
2026-07-07,2026-07-06,DAL,91.48,88.63,-3.115,100.0,-3.138,YES
2026-07-07,2026-07-06,UAL,132.62,128.31,-3.25,100.0,-3.2724,YES
2026-07-08,2026-07-07,SNDK,1591.8,1727.1801,8.505,100.0,8.4723,YES
2026-07-08,2026-07-07,MU,902.64,948.8,5.114,100.0,5.0823,YES
2026-07-08,2026-07-07,WDC,526.0,550.3,4.62,100.0,4.5883,YES
2026-07-08,2026-07-07,AMD,504.81,517.41,2.496,100.0,2.4652,YES
2026-07-08,2026-07-07,DELL,422.88,431.97,2.15,100.0,2.1189,YES
2026-07-08,2026-07-07,DAL,86.79,87.29,0.576,100.0,0.5459,YES
2026-07-08,2026-07-07,NUE,227.49,226.68,-0.356,100.0,-0.386,YES
2026-07-08,2026-07-07,DVA,235.03,230.72,-1.834,100.0,-1.8633,YES
2026-07-08,2026-07-07,HST,23.42,22.76,-2.818,100.0,-2.8473,YES
2026-07-08,2026-07-07,MAS,78.08,75.75,-2.984,100.0,-3.0133,YES
2026-07-09,2026-07-08,DELL,443.83,450.22,1.44,100.0,1.4234,YES
2026-07-09,2026-07-08,SNDK,1835.613,1858.27,1.234,100.0,1.218,YES
2026-07-09,2026-07-08,DAL,87.99,89.0,1.148,100.0,1.1316,YES
2026-07-09,2026-07-08,HST,22.92,23.16,1.047,100.0,1.0309,YES
2026-07-09,2026-07-08,AIZ,279.0,279.2,0.072,100.0,0.0556,YES
2026-07-09,2026-07-08,DVA,231.94,229.48,-1.061,100.0,-1.0765,YES
2026-07-09,2026-07-08,ALL,251.83,248.64,-1.267,100.0,-1.2826,YES
2026-07-09,2026-07-08,NUE,227.12,222.28,-2.131,100.0,-2.1468,YES
2026-07-09,2026-07-08,MU,1016.51,991.64,-2.447,100.0,-2.4623,YES
2026-07-09,2026-07-08,WDC,594.14,578.05,-2.708,100.0,-2.7238,YES
2026-07-10,2026-07-09,SNDK,1778.984,1915.92,7.697,100.0,7.683,YES
2026-07-10,2026-07-09,WDC,564.0,582.59,3.296,100.0,3.2822,YES
2026-07-10,2026-07-09,NUE,222.88,227.37,2.015,100.0,2.0008,YES
2026-07-10,2026-07-09,MU,964.98,979.3,1.484,100.0,1.4704,YES
2026-07-10,2026-07-09,DVA,230.91,232.8,0.819,100.0,0.805,YES
2026-07-10,2026-07-09,ALL,249.87,251.61,0.696,100.0,0.6829,YES
2026-07-10,2026-07-09,HST,23.12,23.18,0.26,100.0,0.2461,YES
2026-07-10,2026-07-09,AIZ,279.39,278.89,-0.179,100.0,-0.1924,YES
2026-07-10,2026-07-09,DAL,87.94,87.39,-0.625,100.0,-0.6388,YES
2026-07-10,2026-07-09,DELL,449.11,434.97,-3.148,100.0,-3.1614,YES
2026-07-13,2026-07-10,ALL,253.32,256.45,1.236,100.0,1.2329,YES
